|ISBN_13|Title|Author|Publisher|Rating|NumofRatings|PublicationDate|Price_KRW|PageNum
34|9780691118673|An Introduction to Mathematical Analysis for Economic Theory and Econometrics|Dean Corbae|Princeton University Press|4.0|8|2009-03-09|129643|688
35|9780521843195|Introductory Econometrics : Using Monte Carlo Simulation with Microsoft Excel|Humberto Barreto|Cambridge University Press|3.33|3|2014-01-27|108839|800
36|9780470015124|Introduction to Econometrics|G. S. Maddala|John Wiley & Sons Inc|4.29|28|2010-01-07|86888|654
37|9780199268016|Econometric Methods with Applications in Business and Economics|Christiaan Heij|Oxford University Press|3.7|10|2004-06-03|147543|816
38|9780190857066|Financial Econometric Modeling|Stan Hurn|Oxford University Press Inc|0.0|0|2020-05-21|102701|640
39|9780198759980|Time Series and Panel Data Econometrics|M. Hashem Pesaran|Oxford University Press|0.0|0|2015-11-17|133341|1104
40|9780986342103|Modern Spatial Econometrics in Practice : A Guide to GeoDa, GeoDaSpace and PySAL|Sergio J Rey|Geoda Press LLC|3.62|8|2014-12-27|112180|394
41|9781316630334|Financial Econometrics : Models and Methods|Oliver Linton|Cambridge University Press|5.0|1|2020-02-21|77176|572
43|9780521139816|Econometric Modelling with Time Series : Specification, Estimation and Testing|Vance Martin|Cambridge University Press|3.0|1|2015-03-25|104587|924
44|9780195391053|Econometric Theory and Methods : International Edition|Russell Davidson|Oxford University Press|4.17|35|2009-04-30|106636|768
45|9781420064247|Introduction to Spatial Econometrics|James LeSage|Taylor & Francis Ltd|3.67|6|2009-01-20|150788|376
46|9788132104698|Principles of Econometrics : An Introduction (Using R)|Neeraj R Hatekar|SAGE Publications India Pvt Ltd|3.0|2|2010-11-10|43201|464
47|9780470998014|Market Risk Analysis : Practical Financial Econometrics|Carol Alexander|John Wiley & Sons Inc|4.56|16|2008-06-10|82431|416
48|9780262731836|Student's Solutions Manual and Supplementary Materials for Econometric Analysis of Cross Section and Panel Data|Jeffrey M. Wooldridge|MIT Press Ltd|4.41|17|2011-07-01|52362|392
49|9780521542241|Introduction to the Mathematical and Statistical Foundations of Econometrics|Herman J. Bierens|Cambridge University Press|0.0|0|2011-01-04|57025|344
50|9780691161433|High-Frequency Financial Econometrics|Yacine Ait-Sahalia|Princeton University Press|0.0|0|2014-07-21|70249|688
51|9780521279680|Applied Nonparametric Econometrics|Daniel J. Henderson|Cambridge University Press|4.67|3|2016-03-29|56856|380
52|9781118949160|Panel Data Econometrics with R|Y Croissant|John Wiley & Sons Inc|3.0|1|2018-11-05|107487|328
53|9781983486562|Using R for Principles of Econometrics|Constantin Colonescu|Createspace Independent Publishing Platform|5.0|1|2018-02-06|47093|306
54|9781107191174|The Elements of Financial Econometrics|Jianqing Fan|Cambridge University Press|0.0|0|2019-01-22|90307|392
55|9780470744031|A Companion to Econometric Analysis of Panel Data|Badi H. Baltagi|John Wiley & Sons Inc|4.5|2|2009-06-10|58192|308
56|9781118808566|Applied Econometric Times Series 4e|W Enders|John Wiley & Sons Inc|3.84|88|2014-11-03|267674|496
57|9780230250239|Experimetrics : Econometrics for Experimental Economics|Peter Moffatt|Bloomsbury Publishing PLC|5.0|2|2015-12-04|89135|496
58|9780674005600|Advanced Econometrics|Takeshi Amemiya|Harvard University Press|4.33|9|1985-11-07|174404|536
59|9780470032701|Introduction to Econometrics|Gary Koop|John Wiley & Sons Inc|4.17|6|2008-04-11|74230|384
60|9781461481447|Mathematics for Econometrics|Phoebus J. Dhrymes|Springer-Verlag New York Inc.|0.0|0|2013-09-24|144630|419
61|9783030539528|Econometric Analysis of Panel Data|Badi H. Baltagi|Springer Nature Switzerland AG|0.0|0|2021-05-12|83893|424
62|9780195301649|Empirical Market Microstructure : The Institutions, Economics, and Econometrics of Securities Trading|Joel Hasbrouck|Oxford University Press Inc|3.62|34|2007-01-18|82275|208
63|9781107436770|Introduction to Bayesian Econometrics|Edward Greenberg|Cambridge University Press|3.25|8|2018-07-23|49623|270
64|9780333802465|An Introduction to Applied Econometrics : A Time Series Approach|Kerry Patterson|Bloomsbury Publishing PLC|3.82|11|2000-10-01|109002|795
